"pickup_datetime","dropoff_datetime","pickup_latitude","pickup_longitude","dropoff_latitude","dropoff_longitude","passenger_count","total_amount","payment_type","rate_code"
"2021-01-01 00:30:10","2021-01-01 00:36:12",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,11.8,2.0,1.0
"2021-01-01 00:55:53","2021-01-01 01:08:15",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,2.0,18.36,1.0,1.0
"2021-01-01 01:05:52","2021-01-01 01:13:17",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,14.15,1.0,1.0
"2021-01-01 09:06:48","2021-01-01 09:14:30",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,14.0,1.0,1.0
"2021-01-01 09:47:41","2021-01-01 09:53:41",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,12.88,1.0,1.0
"2021-01-01 10:42:37","2021-01-01 11:01:08",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,21.8,1.0,1.0
"2021-01-01 11:53:34","2021-01-01 12:01:14",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,15.3,1.0,1.0
"2021-01-01 12:25:36","2021-01-01 12:27:41",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,6.8,2.0,1.0
"2021-01-01 12:22:33","2021-01-01 12:28:51",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,9.8,2.0,1.0
"2021-01-01 15:34:09","2021-01-01 15:38:05",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,3.0,8.3,2.0,1.0
"2021-01-01 15:29:22","2021-01-01 15:31:45",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,6.8,2.0,1.0
"2021-01-01 16:27:12","2021-01-01 16:28:22",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,7.3,2.0,1.0
"2021-01-01 16:32:21","2021-01-01 16:38:20",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,0.0,11.75,1.0,1.0
"2021-01-01 16:19:14","2021-01-01 16:32:07",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,14.3,1.0,1.0
"2021-01-01 17:08:09","2021-01-01 17:13:09",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,1.0,11.76,1.0,1.0
"2021-01-01 19:06:28","2021-01-01 19:13:35",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,3.0,13.3,1.0,1.0
"2021-01-01 19:23:16","2021-01-01 19:27:33",221132.7753491493,989365.0684741095,224356.21221165065,993789.0096985319,3.0,9.95,1.0,1.0
"2021-01-01 00:37:20","2021-01-01 00:49:48",227717.51805898765,991712.7644413216,224356.21221165065,993789.0096985319,1.0,16.56,1.0,1.0
"2021-01-01 06:57:57","2021-01-01 07:00:10",227717.51805898765,991712.7644413216,224356.21221165065,993789.0096985319,1.0,5.3,2.0,1.0
"2021-01-01 06:49:10","2021-01-01 06:54:11",227717.51805898765,991712.7644413216,224356.21221165065,993789.0096985319,1.0,11.3,1.0,1.0
"2021-01-01 11:15:41","2021-01-01 11:23:34",227717.51805898765,991712.7644413216,224356.21221165065,993789.0096985319,2.0,13.56,1.0,1.0
"2021-01-01 12:14:55","2021-01-01 12:24:09",227717.51805898765,991712.7644413216,224356.21221165065,993789.0096985319,2.0,12.3,2.0,1.0
"2021-01-01 15:49:09","2021-01-01 15:59:40",227717.51805898765,991712.7644413216,224356.21221165065,993789.0096985319,1.0,16.0,1.0,1.0
"2021-01-01 16:14:24","2021-01-01 16:20:26",227717.51805898765,991712.7644413216,224356.21221165065,993789.0096985319,1.0,12.25,1.0,1.0
"2021-01-01 14:40:06","2021-01-01 15:10:57",175062.67758486557,1043488.1868617043,224356.21221165065,993789.0096985319,3.0,73.67,1.0,2.0
"2021-01-01 17:46:16","2021-01-01 18:15:47",175062.67758486557,1043488.1868617043,224356.21221165065,993789.0096985319,1.0,61.42,2.0,2.0
"2021-01-01 20:59:35","2021-01-01 21:29:50",175062.67758486557,1043488.1868617043,224356.21221165065,993789.0096985319,1.0,70.67,1.0,2.0
"2021-01-01 16:07:13","2021-01-01 16:20:59",211948.91240008172,984272.7786326221,224356.21221165065,993789.0096985319,3.0,20.76,1.0,1.0
"2021-01-01 18:26:06","2021-01-01 18:38:53",211948.91240008172,984272.7786326221,224356.21221165065,993789.0096985319,1.0,14.3,2.0,1.0
"2021-01-01 07:32:45","2021-01-01 07:41:30",209708.74184834195,985089.2186553577,224356.21221165065,993789.0096985319,1.0,17.88,1.0,1.0
"2021-01-01 10:37:06","2021-01-01 10:46:01",209708.74184834195,985089.2186553577,224356.21221165065,993789.0096985319,4.0,15.35,1.0,1.0
"2021-01-01 10:59:37","2021-01-01 11:07:31",209708.74184834195,985089.2186553577,224356.21221165065,993789.0096985319,1.0,15.0,1.0,1.0
"2021-01-01 12:04:27","2021-01-01 12:11:41",209708.74184834195,985089.2186553577,224356.21221165065,993789.0096985319,1.0,15.38,1.0,1.0
"2021-01-01 13:50:36","2021-01-01 14:04:23",209708.74184834195,985089.2186553577,224356.21221165065,993789.0096985319,1.0,19.3,1.0,1.0
"2021-01-01 13:00:55","2021-01-01 13:09:43",209708.74184834195,985089.2186553577,224356.21221165065,993789.0096985319,2.0,14.8,1.0,1.0
"2021-01-01 06:58:40","2021-01-01 07:02:06",223005.98840944972,997817.9196611019,224356.21221165065,993789.0096985319,1.0,10.55,1.0,1.0
"2021-01-01 07:15:53","2021-01-01 07:22:21",223005.98840944972,997817.9196611019,224356.21221165065,993789.0096985319,1.0,11.3,2.0,1.0
"2021-01-01 09:57:02","2021-01-01 10:08:05",223005.98840944972,997817.9196611019,224356.21221165065,993789.0096985319,1.0,18.36,1.0,1.0
"2021-01-01 10:30:05","2021-01-01 10:38:23",223005.98840944972,997817.9196611019,224356.21221165065,993789.0096985319,1.0,12.8,1.0,1.0
"2021-01-01 10:23:22","2021-01-01 10:31:05",223005.98840944972,997817.9196611019,224356.21221165065,993789.0096985319,1.0,11.3,2.0,1.0
